attribute_0,avg_marks,min_marks,max_marks,surrounding_environment,level_of_comfortable_zone_for_student,university_contribution_in_paper_setting,stud_contribution_in_fighting_for_exam,stud_teacher_contribution_in_learning,gender,location,pg_sem_2,pg_sem_3,travel_time,study_hours,classattentiveness,extratutions,teachinglearninggap,examenvironment,ownstudynotes,time_on_socialmedia,use_online_course,familymotivation,expertmotivation,friendsmotivation,health_issues,inappropriate_yllabus,family_responsiblities,festival_holidays,financial_status,incentive_programs,exam_stress,overall_pg_performance,pg_sem_4_10_classes,pg_class_coded,pg_class_coded_cat
24.0,75.38888889,51.66666667,62.16666667,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.88166667,68.38166667,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
25.0,75.24074074,51.55555556,62.05555556,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.77055556,68.27055556,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
26.0,76.16666667,52.25,62.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.465,68.965,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
27.0,81.5,56.25,66.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,76.465,72.965,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,7.0,7.0,3
28.0,76.16666667,52.25,62.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.465,68.965,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
29.0,76.16666667,52.25,62.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.465,68.965,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
30.0,75.97619048,52.10714286,62.60714286,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.32214286,68.82214286,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
31.0,76.01851852,52.13888889,62.63888889,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.35388889,68.85388889,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
32.0,76.03333333,52.15,62.65,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.365,68.865,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
33.0,81.83333333,56.5,67.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,76.715,73.215,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,7.0,7.0,3
34.0,76.94444444,52.83333333,63.33333333,3.0,9.0,5.0,4.0,5.0,1.0,1.0,73.04833333,69.54833333,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
35.0,76.76666667,52.7,63.2,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.915,69.415,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
36.0,81.16666667,56.0,66.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,76.215,72.715,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
37.0,78.83333333,54.25,64.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,74.465,70.965,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
38.0,78.16666667,53.75,64.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,73.965,70.465,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
39.0,66.66666667,43.75,55.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,68.68,66.715,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,1
40.0,66.71428571,43.78571429,55.03571429,3.0,9.0,5.0,4.0,5.0,1.0,1.0,68.71571429,66.75071429,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,1
41.0,73.46666667,48.85,60.1,3.0,9.0,5.0,4.0,5.0,1.0,1.0,73.78,71.815,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
42.0,74.0,49.25,60.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,74.18,72.215,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
43.0,74.66666667,49.75,61.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,74.68,72.715,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
44.0,74.88888889,49.91666667,61.16666667,3.0,9.0,5.0,4.0,5.0,1.0,1.0,74.84666667,72.88166667,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
45.0,74.74074074,49.80555556,61.05555556,3.0,9.0,5.0,4.0,5.0,1.0,1.0,74.73555556,72.77055556,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
46.0,75.66666667,50.5,61.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.43,73.465,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
47.0,81.0,54.5,65.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,79.43,77.465,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
48.0,75.66666667,50.5,61.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.43,73.465,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
49.0,75.66666667,50.5,61.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.43,73.465,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
50.0,75.47619048,50.35714286,61.60714286,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.28714286,73.32214286,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
51.0,75.51851852,50.38888889,61.63888889,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.31888889,73.35388889,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
52.0,75.53333333,50.4,61.65,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.33,73.365,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
53.0,81.33333333,54.75,66.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,79.68,77.715,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
54.0,76.44444444,51.08333333,62.33333333,3.0,9.0,5.0,4.0,5.0,1.0,1.0,76.01333333,74.04833333,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
55.0,76.26666667,50.95,62.2,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.88,73.915,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
56.0,80.66666667,54.25,65.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,79.18,77.215,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
57.0,78.33333333,52.5,63.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,77.43,75.465,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
58.0,77.66666667,52.0,63.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,76.93,74.965,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,2
59.0,65.66666667,45.5,52.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.145,62.785,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,1
60.0,65.71428571,45.53571429,52.53571429,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.18071429,62.82071429,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,1
61.0,72.46666667,50.6,57.6,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.245,67.885,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
62.0,73.0,51.0,58.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.645,68.285,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
63.0,73.66666667,51.5,58.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.145,68.785,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
64.0,73.88888889,51.66666667,58.66666667,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.31166667,68.95166667,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
65.0,73.74074074,51.55555556,58.55555556,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.20055556,68.84055556,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
66.0,74.66666667,52.25,59.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.895,69.535,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
67.0,80.0,56.25,63.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.895,73.535,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
68.0,74.66666667,52.25,59.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.895,69.535,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
69.0,74.47619048,52.10714286,59.10714286,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.75214286,69.39214286,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
70.0,74.51851852,52.13888889,59.13888889,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.78388889,69.42388889,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
71.0,74.53333333,52.15,59.15,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.795,69.435,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
72.0,80.33333333,56.5,63.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,76.145,73.785,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
73.0,75.44444444,52.83333333,59.83333333,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.47833333,70.11833333,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
74.0,75.26666667,52.7,59.7,3.0,9.0,5.0,4.0,5.0,1.0,1.0,72.345,69.985,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
75.0,79.66666667,56.0,63.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,75.645,73.285,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
76.0,77.33333333,54.25,61.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,73.895,71.535,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
77.0,76.66666667,53.75,60.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,73.395,71.035,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,2
78.0,70.0,47.5,56.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,63.93,59.93,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,1
79.0,70.04761905,47.53571429,56.53571429,3.0,9.0,5.0,4.0,5.0,1.0,1.0,63.96571429,59.96571429,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,1
80.0,76.8,52.6,61.6,3.0,9.0,5.0,4.0,5.0,1.0,1.0,69.03,65.03,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,1
81.0,77.33333333,53.0,62.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,69.43,65.43,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
82.0,78.0,53.5,62.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,69.93,65.93,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
83.0,78.22222222,53.66666667,62.66666667,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.09666667,66.09666667,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
84.0,78.07407407,53.55555556,62.55555556,3.0,9.0,5.0,4.0,5.0,1.0,1.0,69.98555556,65.98555556,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
85.0,79.0,54.25,63.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.68,66.68,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
86.0,84.33333333,58.25,67.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,74.68,70.68,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
87.0,79.0,54.25,63.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.68,66.68,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
88.0,78.80952381,54.10714286,63.10714286,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.53714286,66.53714286,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
89.0,78.85185185,54.13888889,63.13888889,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.56888889,66.56888889,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
90.0,78.86666667,54.15,63.15,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.58,66.58,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,6.0,2
